claim_id,manuscript_location,claim_text,benchmark,protocol,method,metric,value_in_text,source_artifact,value_in_artifact,status,required_fix
P2-A1,PHASE_2_INTERIM_REPORT.md §C,"Audited reproduction of MVTec 3D-AD PatchCore supervised-paired under Phase 2 archived-prediction pipeline; ensemble DeLong p_Holm + paired sample bootstrap CI; sign / direction reported vs Phase 1 audited reanalysis (Δ=+0.0035, p_Holm=0.919, n.s.)",MVTec 3D-AD,PatchCore supervised-paired,validation-frozen RGA+ head vs validation-frozen comparator,roc_auc_delta + p_holm,pilot value,experiments/phase2/statistics/family_a_powered_ensemble_inference.csv (cell A-POWERED-1),(filled by pilot),pilot_complete,N/A
P2-A2,PHASE_2_INTERIM_REPORT.md §C,(pending),MVTec 3D-AD,PatchCore held-out,as above,roc_auc_delta + p_holm,pending,(pending),(pending),pending_compute,run experiment + populate
P2-A3,PHASE_2_INTERIM_REPORT.md §C,(pending),MVTec LOCO-AD,PatchCore supervised-paired,as above,roc_auc_delta + p_holm,pending,(pending),(pending),pending_compute,run experiment + populate
P2-A4,PHASE_2_INTERIM_REPORT.md §C,(pending),VisA,RGB+edge supervised-paired,as above,roc_auc_delta + p_holm,pending,(pending),(pending),pending_compute,run experiment + populate
P2-A5,PHASE_2_INTERIM_REPORT.md §C,(pending),UNSW-NB15,flow/conn/context,as above,roc_auc_delta + p_holm,pending,(pending),(pending),pending_compute,run experiment + populate
P2-B1,PHASE_2_INTERIM_REPORT.md §D,(pending) Reproduction of B1 mechanism endpoint at k=4 mean-gate locked tau=0.66,ELARA-Bench-LA,k-of-D mean-gate B1 zero-attack,RGA vs static,roc_auc_delta + 95% CI,target +0.0506,(pending),(pending),pending_compute,run experiment + compare to Phase 1
P2-B2,PHASE_2_INTERIM_REPORT.md §D,(pending) Reproduction of B2 mechanism endpoint,ELARA-Bench-LA,k-of-D mean-gate B2 max-attack,RGA vs static,roc_auc_delta + 95% CI,target +0.0319,(pending),(pending),pending_compute,run experiment + compare to Phase 1
P2-RGA2,PHASE_2_INTERIM_REPORT.md §E,(pending) RGA-v2 promotion decision against locked criteria,ELARA-Bench-LA,RGA-v2 partial-failure surface,gate candidates G0/G1/G2/G3 (G4 optional),clean_false_fire + per-k AUROC delta,promotion_decision,(pending),(pending),pending_compute,run gate-candidate sweep with locked false-fire budget
P2-KS,PHASE_2_INTERIM_REPORT.md §F.1,(pending) Mixture-shift false-fire control,ELARA-Bench-LA,pure mixture-shift,KS reference vs category-aware,gate_false_activation_rate,(pending),(pending),(pending),pending_compute,run controlled mixture-shift sweep
P2-CERT,PHASE_2_INTERIM_REPORT.md §F.2,(pending) Risk-dominance + switching-certificate audit,B1+B2 + RGA-v2 cells,risk_dominance + LCB,RGA gated vs static,q0/q1/Δ0/Δ1/π* + LCB,(pending),(pending),(pending),pending_compute,compute from archived predictions
P2-FAMILYD-CONTRACT,PHASE_2_INTERIM_REPORT.md §G,Family D future-confirmatory contract frozen; test evaluation NOT executed; awaits independent review,TBD,TBD,TBD,N/A (contract),N/A,docs/research/phase2/FAMILY_D_CONFIRMATORY_REPLICATION_CONTRACT.md,N/A,contract_frozen_no_execution,independent review then unfreeze for execution
