category,weight,implemented_percent,executed_percent,validated_percent,weighted_claim_readiness_points,status,key_evidence_paths,largest_missing_requirement
Research governance and protocol locks,6,95,90,82,4.92,Green,research_lock/; elara_master_c/; research_lock/DECISIONS_v1.md,Ratify D3 external M2 vs inverted-MVTec proxy
Dataset construction and leakage-safe splits,8,88,78,62,4.96,Yellow,elara_master_c/data/splits/split_hashes/; experiments/fusion/*_metadata.json; tests/test_master_c_leakage_splits.py,External untouched RGB+depth final audit dataset
Repository-to-paper alignment and infrastructure,6,92,88,78,4.68,Green,scripts/rebuild_paper.sh; src/scripts/scenario_c/; docs/research/phase3/,Full fusion-run prediction archives for all benchmarks
Strong upstream modality experts,10,72,68,48,4.80,Yellow,prepare_mvtec3d_fusion_benchmark.py; gate_a_expert_qualification_v2.json,Published-grade PatchCore/M3DM retrain; non-vision expert results
Calibration and reliability estimator,8,85,75,52,4.20,Yellow,elara_master_c/models/calibrators/; configs/attention_real_fusion.yaml,Confirmed calibration transfer on held-out natural-pair data
Strong baselines and comparator freeze,8,92,88,72,5.76,Green,research_lock/strongest_baseline_frozen_v1.json; run_breakthrough_experiment.py,RGA+ beat strongest comparator on all primary cells with CIs
Base RGA mechanism validation,10,92,90,78,7.80,Green,experiments/phase2/mechanism/family_b_primary_replication_holm_k2.csv,Real-benchmark partial k-of-D failure sweep
RGA+ predictive validation,8,90,85,58,4.64,Yellow,experiments/phase2/statistics/family_a_v2_primary_cell_level_holm_k5.csv,Beats frozen strongest baseline (not only static) on all claims
Partial-domain and unseen degradation evidence,7,78,55,38,2.66,Red,output/phase4/partial_domain_failure_study.json,Real-benchmark k-of-D + held-out degradation family
Held-out transfer confirmation,8,75,82,28,2.24,Red,confirmatory_statistics_report.json; family_d_failure_record.md,Positive transfer CI on untouched external RGB+depth
Cross-domain natural validation,7,58,40,22,1.54,Red,experiments/fusion/healthcare_paired_inputs.json,Healthcare (or other) fusion train+eval with archived predictions
Attack monitoring and safe failure,5,72,55,42,2.10,Yellow,gate_decision_rule_e2e_audit.json; table_3_adversarial in fusion JSONs,Deployment monitor on real streams; abstention under attack
Temporal monitoring,4,65,42,28,1.12,Red,output/phase10/temporal_monitoring_study.json,Chronological real-data monitoring validation
Theory and certificate completion,5,88,85,68,3.40,Yellow,src/elara/theory/; validate_theorem_stack.py; docs/research/tables/,Population-level theorems tied to real benchmark outcomes
Statistics and reproducibility,10,88,82,72,7.20,Green,experiments/phase2/predictions/PREDICTION_ARCHIVE_INDEX.csv; FINAL_METRICS_MANIFEST.json,Per-run archives for every fusion benchmark cell
TOTAL,100,84,76,58,62.26,Yellow,audits/MASTER_C_PROGRESS_AUDIT.md,Transfer + cross-domain + partial-failure on real data
