rank,severity,category,finding,evidence,minimum_safe_fix,finding_stage,remediation_status,remediation_action,verification_evidence,release_disposition,remaining_requirement
1,Critical,Route-B estimator,Arbitrary-sign b_hat drives routing although b_tilde is anchor-oriented; 105/138 archived ADAPT cells strictly harmed.,analysis.py:270-296,"Use a bounded, anchor-oriented estimator; test invariance to eigenvector sign; fail closed when orientation is unidentified.",initial_audit_pre_remediation,CONTROL_IMPLEMENTED_HISTORICAL_ROUTE_WITHHELD,"Route B now uses a bounded anchor-oriented median-of-minors estimator and fails closed when orientation, range, rank, or candidate-identity checks fail.",experiments/kbound/wilds/analysis.py; tests/test_wilds_multicandidate_route_hardening.py,Historical Route-B decisions are non-promotable; only a fresh hardened run may be evaluated.,Run the sealed task-compatible protocol and verify its complete ledger before any numerical claim.
2,Critical,Theory/task mismatch,"The binary correctness-agreement identity is applied to 65-, 182-, and 200-class tasks and to macro-F1.",val_multicandidate_residual.py:13-23,Restrict Route B to binary accuracy or derive and validate a multiclass confusion-tensor method.,initial_audit_pre_remediation,CONTROL_IMPLEMENTED_HISTORICAL_ROUTE_WITHHELD,"Route B now requires binary classification, exactly two classes, an accuracy objective, and an explicit trusted-anchor premise; multiclass and macro-F1 calls return unscorable UNSUPPORTED states.",experiments/kbound/wilds/analysis.py; tests/test_wilds_multicandidate_route_hardening.py; tests/test_remaining_wilds_runner_integrity.py,No multiclass Route-B action or score from the historical archive may be released.,Use Route A or a separately derived and validated metric-specific multiclass method.
3,Critical,Duplicate leakage,Office-Home five-seed zero-regret aggregate has 180 rows but only 90 unique seed-condition keys; each LOO holdout retains its twin.,extract_multiseed_natural.py:84-95; per_condition_serialize.py:194-214,Reject duplicate scientific keys and aggregate one canonical run only.,initial_audit_pre_remediation,QUARANTINED_AND_CONTROL_IMPLEMENTED,Duplicate scientific keys now hard-fail before estimation and aggregation; the invalid Office-Home derivatives were removed from the release tree with hashes retained in the quarantine manifest.,docs/research/kbound/audits/empirical_data_quality_2026_08_27/quarantine_manifest.json; tests/test_multiseed_natural_extraction_lineage.py,QUARANTINED_NO_RELEASE_USE,Regenerate only from one canonical run per scientific key under the hardened extractor.
4,Critical,Stale lineage,An iWildCam aggregate was emitted from stale seed files even though the current source wrote no requested candidate rows.,extract_multiseed_natural.py:256-279,Use fresh atomic staging and aggregate only files returned by the current invocation.,initial_audit_pre_remediation,QUARANTINED_AND_CONTROL_IMPLEMENTED,Extraction now writes to a fresh atomic stage and aggregates only files produced by the current invocation; the stale iWildCam derivatives were quarantined.,docs/research/kbound/scripts/extract_multiseed_natural.py; docs/research/kbound/audits/empirical_data_quality_2026_08_27/quarantine_manifest.json; tests/test_multiseed_natural_extraction_lineage.py,QUARANTINED_NO_RELEASE_USE,A fresh official-metric source run is required before regeneration.
5,Critical,Resume contamination,A declared Office-Home target-test result contains 24/42 source/target-validation conditions.,run_officehome_kbound.py:101-110,Key partials by canonical scientific-config hash and refuse role/split/checkpoint mismatches.,initial_audit_pre_remediation,CONTROL_IMPLEMENTED_HISTORICAL_ARTIFACT_WITHHELD,"Natural runners now require runner-specific semantic validation while sealing and loading partial state. The validators recompute scientific cell identities, deterministic sample provenance and labels from live indexes, evidence/TTA protocol contracts, score arithmetic, and current checkpoint/config context. RxRx1 completion receipts are additionally bound to the exact run directory, result, population, checkpoint tensors, implementation hashes, and scientific configuration.",experiments/kbound/wilds/run_integrity.py; experiments/kbound/wilds/run_camelyon17_kbound.py; experiments/kbound/wilds/run_imagenetr_kbound.py; experiments/kbound/wilds/run_geoshift_kbound.py; experiments/kbound/wilds/run_iwildcam_kbound.py; experiments/kbound/officehome/run_officehome_kbound.py; experiments/kbound/wilds/run_rxrx1_kbound.py; tests/test_wilds_run_integrity.py; tests/test_camelyon_imagenetr_runner_integrity.py; tests/test_remaining_wilds_runner_integrity.py; tests/test_natural_runner_integrity.py,The contaminated historical target-test artifact remains audit-only and cannot be promoted.,Rerun target-test in a fresh directory with the hardened role contract.
6,High,Metric parity,"iWildCam sklearn macro-F1 includes prediction-only classes, unlike WILDS; benefit changes by +0.0294 on average with 60/864 sign flips.",run_iwildcam_kbound.py:48-50,"Call the WILDS evaluator or pass labels=np.unique(y_true), zero_division=0; add parity tests.",initial_audit_pre_remediation,CONTROL_IMPLEMENTED_RERUN_REQUIRED,"The iWildCam scorer now matches WILDS label-present macro-F1 semantics, and the current canonical/manuscript release explicitly withholds the numerical and action row.",experiments/kbound/wilds/run_iwildcam_kbound.py; tests/test_natural_runner_integrity.py; experiments/kbound/results/reconciled_panels_v1/canonical_panel_results.json,WITHHELD_INVALID_METRIC_CONTRACT_DIAGNOSTIC_ONLY,Run the official metric prospectively in the pinned runtime with a sealed population manifest.
7,High,Target-label leakage,Broad multiseed extraction can combine validation and test labels in the same LOO fitting pool and labels stream seeds as model seeds.,"run_multiseed.sh:171-181,221-231","Fit on source/development data, freeze once, and require model_seed plus checkpoint SHA-256 for model-level inference.",initial_audit_pre_remediation,CONTROL_IMPLEMENTED_DEVELOPMENT_DIAGNOSTIC_ONLY,"The extractor prohibits target-test labels, separates model_seed from stream_seed, requires distinct checkpoint hashes for model-seed inference, and marks within-development LOO aggregates non-confirmatory.",docs/research/kbound/scripts/extract_multiseed_natural.py; tests/test_multiseed_natural_extraction_lineage.py; tests/test_independent_checkpoint_audit.py,DEVELOPMENT_DIAGNOSTIC_ONLY_NO_HELDOUT_PROMOTION,Obtain independent checkpoints and a sealed held-out evaluation for confirmatory inference.
8,High,Structural infeasibility,Single-adapter natural runners have M=2 while Route B requires M>=4; focused Office-Home has only three LOO cells at alpha=.10.,analysis.py:260-263,"Preflight calibration feasibility and require four unique, sufficiently ranked predictors.",initial_audit_pre_remediation,CONTROL_IMPLEMENTED_HISTORICAL_RESULT_WITHHELD,"Exact-rank infeasibility now serializes as null plus an explicit INFEASIBLE status and ABSTAIN; candidate count, uniqueness, and effective-rank checks fail closed.",experiments/kbound/wilds/analysis.py; docs/research/kbound/scripts/per_condition_serialize.py; tests/test_multiseed_natural_extraction_lineage.py; tests/test_camelyon_imagenetr_runner_integrity.py,Historical structurally infeasible routing results are non-promotable.,Supply a predeclared calibration pool and candidate geometry that satisfy the exact-rank requirements.
9,High,Error handling,Route ERROR and incomplete cells can be scored as frozen-equivalent or published without a completeness failure.,analysis.py:258-259; run_camelyon17_kbound.py:61-65,Never score ERROR; enforce expected/completed/failed ledgers before publication.,initial_audit_pre_remediation,CONTROL_IMPLEMENTED_RERUN_REQUIRED,"ERROR/UNSUPPORTED routes are unscorable, strict ledgers track expected/completed/failed/missing cells, and incomplete runs cannot receive publication_eligible=true.",experiments/kbound/wilds/run_integrity.py; tests/test_wilds_run_integrity.py; tests/test_camelyon_imagenetr_runner_integrity.py,"Only complete, failure-free manifests may feed extraction or release tables.",Rerun any historical panel whose original manifest lacks the hardened ledger.
10,High,PACS denominator,The draft calls 108 twin-pairs condition cells; reported rates use 216 decision evaluations.,kbound_submission_body.tex:523-525,Report 216 evaluations and 108 paired settings separately; keep n=12 inference units.,initial_audit_pre_remediation,MANUSCRIPT_CORRECTED,"The manuscript now distinguishes 216 decision evaluations, 108 paired settings, and 12 domain-seed inference units.",docs/research/kbound/kbound_submission_body.tex; scripts/reconcile_result_panels.py,Corrected denominator language is eligible for release.,Preserve the three denominators in every generated table and caption.
