experiment_id,analysis_family,research_question,benchmark,protocol,pairing_strength,dataset_partition_status,existing_or_new_evidence,method_candidates,primary_comparator,analysis_surface,selection_data_allowed,test_data_visibility_before_lock,seed_plan,prediction_archive_required,primary_metric,secondary_metrics,multiplicity_family,allowed_claim,forbidden_claim,status
A-POWERED-1,A,Q1,MVTec 3D-AD,PatchCore supervised-paired,independent_modalities,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,static_attention,PRIMARY_FAMILY_A_CELL_LEVEL + SECONDARY_ALL_COMPARATOR_PILOT_AUDIT,validation only,partially inspected prior to lock; reproduction is audited not confirmatory,30,True,roc_auc,pr_auc|ece|brier|f1,A-POWERED-K5,audited reproduction; RGA+ vs static_attention as the primary K=5 cell-level surface; secondary all-comparator audit allowed,confirmatory|preregistered|beats every baseline|broad cross-domain generalization,pilot_archive_valid;primary_surface_pending_recompute
A-POWERED-2,A,Q1,MVTec 3D-AD,PatchCore held-out category,independent_modalities,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,static_attention,PRIMARY_FAMILY_A_CELL_LEVEL,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; cross-category transfer audited Delta vs static_attention,confirmatory|preregistered|beats every baseline,pending_compute
A-POWERED-3,A,Q1,MVTec LOCO-AD,PatchCore supervised-paired,independent_modalities,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,static_attention,PRIMARY_FAMILY_A_CELL_LEVEL,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; expected sign-flip vs Phase 1 must be transparently reported,confirmatory|preregistered|beats every baseline,pending_compute
A-POWERED-4,A,Q1,VisA,RGB+edge supervised-paired,derived_view_proxy,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,static_attention,PRIMARY_FAMILY_A_CELL_LEVEL,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; derived-view-proxy pairing cannot support independent-modality generalization,confirmatory|preregistered|broad cross-domain generalization,pending_compute
A-POWERED-5,A,Q1,UNSW-NB15,flow/conn/context,naturally_structured_views,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,static_attention,PRIMARY_FAMILY_A_CELL_LEVEL,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; practical-effect band reported alongside p-value,confirmatory|preregistered|broad cross-domain generalization,pending_compute
B-MECH-1,B,Q1,ELARA-Bench-LA,k-of-D corruption k=4 mean-gate at locked tau=0.66 (B1+B2 endpoints),label_aligned_stress_only,reproduction of inspected mechanism cell,mechanism replication,RGA vs static,static_attention,PRIMARY_FAMILY_B_MECHANISM,validation only for any auxiliary choices,partially inspected,30,True,roc_auc_delta,gate_activation_rate|mean_reliability|min_reliability,B-MECH-K2,reproduction of B1/B2 audited mechanism endpoints (+0.0506 / +0.0319) under archived predictions + ensemble inference,confirmatory|preregistered|cross-domain generalization,pending_compute
B-MECH-2,B,Q2,ELARA-Bench-LA,"RGA-v2 partial-failure evaluation across k in {0,1,2,3,4}",label_aligned_stress_only,new mechanism method test,RGA-v2 gate-candidate sweep,G0 mean|G1 min|G2 hybrid|G3 top-q|G4 learned (optional),G0 (base mean-gate),PRIMARY_RGA_V2_PROMOTION,validation only,k=0 (clean) data and validation-fold corruption only,15-30,True,roc_auc_delta_per_k|clean_false_fire_rate,gate_activation_rate|certificate_status,B-RGA-V2-K5,RGA-v2 may be called an improvement only if all promotion criteria pass; otherwise reported as partial / no improvement,RGA-v2 universally better|RGA-v2 promotion based on test-tuning,pending_compute
B-MECH-3,B,Q3,ELARA-Bench-LA,pure mixture-shift false-fire control,label_aligned_stress_only,new theory/mechanism evidence,category-aware reference test,global KS reference vs category-aware reference,global KS reference,PRIMARY_MIXTURE_SHIFT_CONTROL,validation only,not previously inspected,5+,True,gate_false_activation_rate,reliability_score_shift|roc_auc_effect_of_unnecessary_switching,B-MECH-K2,reduces false firing under the evaluated pure mixture-shift controls,solves distribution shift universally|guarantees no false alarms,pending_compute
B-MECH-4,B,Q3,ELARA-Bench-LA,KS window-size / sample-size power sweep,label_aligned_stress_only,new theory/mechanism evidence,KS power sweep,"KS with windows in {32,64,128,256,512}",n/a (sweep),PRIMARY_KS_POWER_SWEEP,validation only,not previously inspected,5+,True,detection_power,false_activation_rate|roc_auc_effect,B-MECH-K2,reports the window/power tradeoff,no power-vs-window claim outside the evaluated window set,pending_compute
B-CERT-1,B,Q4,B1/B2 + RGA-v2 partial-failure cells,risk-dominance terms + finite-sample switching certificate,label_aligned_stress_only|independent_modalities,retrospective audit,retrospective certificate from archived predictions,n/a (retrospective),n/a (retrospective),PRIMARY_RETROSPECTIVE_CERTIFICATE,validation + test for retrospective certificate only,n/a,n/a,uses existing + new prediction archives,fired_subset_paired_loss_difference + LCB,q0|q1|delta0|delta1|pi_star,no cross-family Holm,retrospective evaluation certificates under defined stress protocols,production safety certificate|clinical deployment guarantee,pending_compute
C-EXP-EFFICIENTAD-1,C,Q1-exploratory,MVTec 3D-AD,EfficientAD supervised-paired,independent_modalities,inspected,exploratory expansion (NOT Family A),rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,n/a (descriptive),EXPLORATORY_DESCRIPTIVE,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,no Holm (Family C),exploratory expansion: not part of the Family-A K=5 multiplicity,confirmatory|preregistered|Family-A status,pending_compute
C-EXP-EFFICIENTAD-2,C,Q1-exploratory,MVTec 3D-AD,EfficientAD one-class,independent_modalities,inspected,exploratory expansion (NOT Family A),rga_meta_router|rga_boosted_fusion|static_attention|craf_attention|RF|MLP|LFE|Conf-mean|Tent|TTT|EATA|SAR,n/a (descriptive),EXPLORATORY_DESCRIPTIVE,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,no Holm (Family C),exploratory expansion: not part of the Family-A K=5 multiplicity,confirmatory|preregistered|Family-A status,pending_compute
