dataset,path,role_for_kbound,used_in_kbound
adbench,data/raw/adbench,123-task score archive source (tabular),used
adbench_cv,data/raw/adbench_cv,image-OOD features for archive,used
adbench_nlp,data/raw/adbench_nlp,text features for archive,used
adbench_classical,data/raw/adbench_classical,classical tabular for archive,used
adbench_industrial,data/raw/adbench_industrial,industrial tabular for archive,used
baf,data/raw/baf,tabular knowability suite,used
cyber,data/raw/cyber,tabular knowability suite,used
fraud,data/raw/fraud,tabular knowability suite,used
realiad_d3,data/raw/realiad_d3,mixed clean/failure multimodal regime,used
mvtec3d,data/raw/mvtec3d,cleanest validated mixed regime (+0.21),used
mulsen_ad,data/raw/mulsen_ad,multi-sensor failure regime,corroborating
3d_adam_anomalib,data/raw/3d_adam_anomalib,external transfer,corroborating
realiad,data/raw/realiad,natural-transfer,corroborating
mvtec_ad,data/raw/mvtec_ad,industrial family,used
visa,data/raw/visa,industrial family,used
adbench_sealed_cv,data/raw/adbench_sealed_cv,sealed holdout (cv),corroborating
adbench_sealed_nlp,data/raw/adbench_sealed_nlp,sealed holdout (nlp),corroborating
indep_external,data/raw/indep_external,independent external validation,corroborating
openml_indep,data/raw/openml_indep,independent external validation,corroborating
tsb_ad,data/raw/tsb_ad,time-series shift regime,partial
smd,data/raw/smd,time-series shift,partial
nab,data/raw/nab,time-series shift,partial
har,data/raw/har,sensor shift,partial
eyecandies,data/raw/eyecandies,synthetic RGB-D dev/negative only,not_used
mvtec_loco,data/raw/mvtec_loco,secondary diagnostic,not_used
real3d,data/raw/real3d,exploratory,not_used
healthcare,data/raw/healthcare,clinical dev only,not_used
behavior,data/raw/behavior,legacy,not_used
nlp,data/raw/nlp,legacy feature source,not_used
vision,data/raw/vision,legacy feature source,not_used
