claim_id,manuscript_location,claim_text,benchmark,protocol,method,metric,value_in_text,source_artifact,value_in_artifact,status,required_fix
P2-A1-SECONDARY,FAMILY_A_POWERED_AUDITED_REPRODUCTION_REPORT_v2.md sec 2.1,Secondary all-comparator pilot audit: RGA+ ensemble vs 10 named comparators; 5 reach Holm significance within-cell at K=10,MVTec 3D-AD,PatchCore supervised-paired,validation-frozen RGA+ vs 10 comparators,roc_auc_delta + within-cell K=10 p_Holm,0.7420 / 5-of-10,experiments/phase2/statistics/family_a_powered_ensemble_inference.csv,0.7420 / 5-of-10,secondary_all_comparator_pilot_audit_complete,N/A (frozen)
P2-A1-PRIMARY-RECOMPUTE,FAMILY_A_POWERED_AUDITED_REPRODUCTION_REPORT_v2.md sec 2.2,Primary Family-A K=5 cell-level surface for A-POWERED-1 (RGA+ vs static_attention),MVTec 3D-AD,PatchCore supervised-paired,validation-frozen RGA+ vs static_attention only,roc_auc_delta + K=5 p_Holm (pending full family),pending,experiments/phase2/predictions/A-POWERED-1__MVTec_3D-AD__PatchCore_supervised-paired (existing archive),pending,primary_surface_pending_recompute,rerun audited_analysis() against static_attention only; do not retrain
P2-A2,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Audited reproduction MVTec 3D-AD PatchCore held-out category,MVTec 3D-AD,PatchCore held-out category,validation-frozen RGA+ vs static_attention,roc_auc_delta + K=5 p_Holm,pending,(pending),(pending),pending_compute,run experiment + populate prediction archive
P2-A3,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Audited reproduction MVTec LOCO-AD PatchCore supervised-paired,MVTec LOCO-AD,PatchCore supervised-paired,validation-frozen RGA+ vs static_attention,roc_auc_delta + K=5 p_Holm,pending,(pending),(pending),pending_compute,run experiment + populate prediction archive
P2-A4,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Audited reproduction VisA RGB+edge supervised-paired,VisA,RGB+edge supervised-paired,validation-frozen RGA+ vs static_attention,roc_auc_delta + K=5 p_Holm,pending,(pending),(pending),pending_compute,run experiment + populate prediction archive
P2-A5,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Audited reproduction UNSW-NB15 flow/conn/context,UNSW-NB15,flow/conn/context,validation-frozen RGA+ vs static_attention,roc_auc_delta + K=5 p_Holm,pending,(pending),(pending),pending_compute,run experiment + populate prediction archive
P2-B1,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Reproduction of B1 mechanism endpoint at k=4 mean-gate locked tau=0.66,ELARA-Bench-LA,k-of-D mean-gate B1 zero-attack,RGA vs static,roc_auc_delta + 95% CI,target +0.0506,(pending),(pending),pending_compute,run experiment + compare to Phase 1
P2-B2,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Reproduction of B2 mechanism endpoint,ELARA-Bench-LA,k-of-D mean-gate B2 max-attack,RGA vs static,roc_auc_delta + 95% CI,target +0.0319,(pending),(pending),pending_compute,run experiment + compare to Phase 1
P2-RGA2,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) RGA-v2 promotion decision against locked criteria,ELARA-Bench-LA,RGA-v2 partial-failure surface,gate candidates G0/G1/G2/G3 (G4 optional),clean_false_fire + per-k AUROC delta,promotion_decision,(pending),(pending),pending_compute,run gate-candidate sweep with locked false-fire budget
P2-KS,PHASE_2_INTERIM_REPORT_v2.md sec 4,(pending) Mixture-shift false-fire control,ELARA-Bench-LA,pure mixture-shift,KS reference vs category-aware,gate_false_activation_rate,(pending),(pending),(pending),pending_compute,run controlled mixture-shift sweep
