rank,remediation_status,remediation_action,verification_evidence,release_disposition,remaining_requirement
1,CONTROL_IMPLEMENTED_HISTORICAL_ROUTE_WITHHELD,"Route B now uses a bounded anchor-oriented median-of-minors estimator and fails closed when orientation, range, rank, or candidate-identity checks fail.",experiments/kbound/wilds/analysis.py; tests/test_wilds_multicandidate_route_hardening.py,Historical Route-B decisions are non-promotable; only a fresh hardened run may be evaluated.,Run the sealed task-compatible protocol and verify its complete ledger before any numerical claim.
2,CONTROL_IMPLEMENTED_HISTORICAL_ROUTE_WITHHELD,"Route B now requires binary classification, exactly two classes, an accuracy objective, and an explicit trusted-anchor premise; multiclass and macro-F1 calls return unscorable UNSUPPORTED states.",experiments/kbound/wilds/analysis.py; tests/test_wilds_multicandidate_route_hardening.py; tests/test_remaining_wilds_runner_integrity.py,No multiclass Route-B action or score from the historical archive may be released.,Use Route A or a separately derived and validated metric-specific multiclass method.
3,QUARANTINED_AND_CONTROL_IMPLEMENTED,Duplicate scientific keys now hard-fail before estimation and aggregation; the invalid Office-Home derivatives were removed from the release tree with hashes retained in the quarantine manifest.,docs/research/kbound/audits/empirical_data_quality_2026_08_27/quarantine_manifest.json; tests/test_multiseed_natural_extraction_lineage.py,QUARANTINED_NO_RELEASE_USE,Regenerate only from one canonical run per scientific key under the hardened extractor.
4,QUARANTINED_AND_CONTROL_IMPLEMENTED,Extraction now writes to a fresh atomic stage and aggregates only files produced by the current invocation; the stale iWildCam derivatives were quarantined.,docs/research/kbound/scripts/extract_multiseed_natural.py; docs/research/kbound/audits/empirical_data_quality_2026_08_27/quarantine_manifest.json; tests/test_multiseed_natural_extraction_lineage.py,QUARANTINED_NO_RELEASE_USE,A fresh official-metric source run is required before regeneration.
5,CONTROL_IMPLEMENTED_HISTORICAL_ARTIFACT_WITHHELD,"Natural runners now require runner-specific semantic validation while sealing and loading partial state. The validators recompute scientific cell identities, deterministic sample provenance and labels from live indexes, evidence/TTA protocol contracts, score arithmetic, and current checkpoint/config context. RxRx1 completion receipts are additionally bound to the exact run directory, result, population, checkpoint tensors, implementation hashes, and scientific configuration.",experiments/kbound/wilds/run_integrity.py; experiments/kbound/wilds/run_camelyon17_kbound.py; experiments/kbound/wilds/run_imagenetr_kbound.py; experiments/kbound/wilds/run_geoshift_kbound.py; experiments/kbound/wilds/run_iwildcam_kbound.py; experiments/kbound/officehome/run_officehome_kbound.py; experiments/kbound/wilds/run_rxrx1_kbound.py; tests/test_wilds_run_integrity.py; tests/test_camelyon_imagenetr_runner_integrity.py; tests/test_remaining_wilds_runner_integrity.py; tests/test_natural_runner_integrity.py,The contaminated historical target-test artifact remains audit-only and cannot be promoted.,Rerun target-test in a fresh directory with the hardened role contract.
6,CONTROL_IMPLEMENTED_RERUN_REQUIRED,"The iWildCam scorer now matches WILDS label-present macro-F1 semantics, and the current canonical/manuscript release explicitly withholds the numerical and action row.",experiments/kbound/wilds/run_iwildcam_kbound.py; tests/test_natural_runner_integrity.py; experiments/kbound/results/reconciled_panels_v1/canonical_panel_results.json,WITHHELD_INVALID_METRIC_CONTRACT_DIAGNOSTIC_ONLY,Run the official metric prospectively in the pinned runtime with a sealed population manifest.
7,CONTROL_IMPLEMENTED_DEVELOPMENT_DIAGNOSTIC_ONLY,"The extractor prohibits target-test labels, separates model_seed from stream_seed, requires distinct checkpoint hashes for model-seed inference, and marks within-development LOO aggregates non-confirmatory.",docs/research/kbound/scripts/extract_multiseed_natural.py; tests/test_multiseed_natural_extraction_lineage.py; tests/test_independent_checkpoint_audit.py,DEVELOPMENT_DIAGNOSTIC_ONLY_NO_HELDOUT_PROMOTION,Obtain independent checkpoints and a sealed held-out evaluation for confirmatory inference.
8,CONTROL_IMPLEMENTED_HISTORICAL_RESULT_WITHHELD,"Exact-rank infeasibility now serializes as null plus an explicit INFEASIBLE status and ABSTAIN; candidate count, uniqueness, and effective-rank checks fail closed.",experiments/kbound/wilds/analysis.py; docs/research/kbound/scripts/per_condition_serialize.py; tests/test_multiseed_natural_extraction_lineage.py; tests/test_camelyon_imagenetr_runner_integrity.py,Historical structurally infeasible routing results are non-promotable.,Supply a predeclared calibration pool and candidate geometry that satisfy the exact-rank requirements.
9,CONTROL_IMPLEMENTED_RERUN_REQUIRED,"ERROR/UNSUPPORTED routes are unscorable, strict ledgers track expected/completed/failed/missing cells, and incomplete runs cannot receive publication_eligible=true.",experiments/kbound/wilds/run_integrity.py; tests/test_wilds_run_integrity.py; tests/test_camelyon_imagenetr_runner_integrity.py,"Only complete, failure-free manifests may feed extraction or release tables.",Rerun any historical panel whose original manifest lacks the hardened ledger.
10,MANUSCRIPT_CORRECTED,"The manuscript now distinguishes 216 decision evaluations, 108 paired settings, and 12 domain-seed inference units.",docs/research/kbound/kbound_submission_body.tex; scripts/reconcile_result_panels.py,Corrected denominator language is eligible for release.,Preserve the three denominators in every generated table and caption.
