experiment_id,analysis_family,research_question,benchmark,protocol,pairing_strength,dataset_partition_status,existing_or_new_evidence,method_candidates,selection_data_allowed,test_data_visibility_before_lock,seed_plan,prediction_archive_required,primary_metric,secondary_metrics,multiplicity_family,allowed_claim,forbidden_claim,status
A-POWERED-1,A,Q1,MVTec 3D-AD,PatchCore supervised-paired,independent_modalities,inspected,powered audited reproduction,rga_meta_router|rga_boosted_fusion + RF|MLP|LFE|Tent|TTT|EATA|SAR|Conf-mean,validation only,partially inspected prior to lock; reproduction is audited not confirmatory,30,True,roc_auc,pr_auc|ece|brier|f1,A-POWERED-K5,"audited reproduction of inspected cell; ensemble DeLong + paired sample bootstrap CI; sign / direction agreement vs Phase 1","confirmatory|preregistered|beats every baseline|broad cross-domain generalization",pilot_complete_at_30_seeds_for_this_cell_only
A-POWERED-2,A,Q1,MVTec 3D-AD,PatchCore held-out category,independent_modalities,inspected,powered audited reproduction,as above,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; cross-category transfer audited Δ vs val-frozen comparator,confirmatory|preregistered|beats every baseline,pending_compute
A-POWERED-3,A,Q1,MVTec LOCO-AD,PatchCore supervised-paired,independent_modalities,inspected,powered audited reproduction,as above,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; expected sign-flip vs Phase 1 must be transparently reported,confirmatory|preregistered|beats every baseline,pending_compute
A-POWERED-4,A,Q1,VisA,RGB+edge supervised-paired,derived_view_proxy,inspected,powered audited reproduction,as above,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; derived-view-proxy pairing cannot support independent-modality generalization,confirmatory|preregistered|broad cross-domain generalization,pending_compute
A-POWERED-5,A,Q1,UNSW-NB15,flow/conn/context,naturally_structured_views,inspected,powered audited reproduction,as above,validation only,partially inspected,30,True,roc_auc,pr_auc|ece|brier,A-POWERED-K5,audited reproduction; practical-effect band reported alongside p-value,confirmatory|preregistered|broad cross-domain generalization,pending_compute
B-MECH-1,B,Q1,ELARA-Bench-LA,k-of-D corruption k=4 mean-gate at locked tau=0.66 (B1 + B2 endpoints),label_aligned_stress_only,reproduction of inspected mechanism cell,mechanism replication,RGA vs static,validation only for any auxiliary choices,partially inspected,30,True,roc_auc_delta,gate_activation_rate|mean_reliability|min_reliability,B-MECH-K2,"reproduction of B1/B2 audited mechanism endpoints (+0.0506 / +0.0319) under archived predictions + ensemble inference",confirmatory|preregistered|cross-domain generalization,pending_compute
B-MECH-2,B,Q2,ELARA-Bench-LA,RGA-v2 partial-failure evaluation across k in {0,1,2,3,4},label_aligned_stress_only,new mechanism method test,"G0 mean | G1 min | G2 hybrid | G3 top-q | G4 learned (optional)",validation only,k=0 (clean) data and validation-fold corruption only,15-30,True,roc_auc_delta_per_k|clean_false_fire_rate,gate_activation_rate|certificate_status,B-RGA-V2-K5,"RGA-v2 may be called an improvement only if all promotion criteria pass; otherwise reported as partial / no improvement",RGA-v2 universally better|RGA-v2 promotion based on test-tuning,pending_compute
B-MECH-3,B,Q3,ELARA-Bench-LA,pure mixture-shift false-fire control,label_aligned_stress_only,new theory/mechanism evidence,global KS reference vs category-aware reference,validation only,not previously inspected,5+,True,gate_false_activation_rate,reliability_score_shift|roc_auc_effect_of_unnecessary_switching,B-MECH-K2,reduces false firing under the evaluated pure mixture-shift controls,solves distribution shift universally|guarantees no false alarms,pending_compute
B-MECH-4,B,Q3,ELARA-Bench-LA,KS window-size / sample-size power sweep,label_aligned_stress_only,new theory/mechanism evidence,KS with windows in [32 64 128 256 512],validation only,not previously inspected,5+,True,detection_power|false_activation_rate,roc_auc_effect,B-MECH-K2,reports the window/power tradeoff,no power-vs-window claim outside the evaluated window set,pending_compute
B-CERT-1,B,Q4,B1/B2 + RGA-v2 partial-failure cells,risk-dominance terms + finite-sample switching certificate,label_aligned_stress_only|independent_modalities,retrospective audit,n/a,validation + test for retrospective certificate only,n/a,n/a,uses existing + new prediction archives,fired_subset_paired_loss_difference + LCB,q0|q1|delta0|delta1|pi_star,no cross-family Holm,retrospective evaluation certificates under defined stress protocols,production safety certificate|clinical deployment guarantee,pending_compute
D-CONTRACT,D,Q5,TBD locked Family D candidate (see FAMILY_D_DATASET_INVENTORY.md),TBD,independent_modalities|naturally_structured_views,uninspected,FUTURE LOCKED CONFIRMATORY REPLICATION,TBD frozen before evaluation,validation only,untouched test partition; locked before evaluation,TBD frozen,True,TBD frozen,TBD frozen,D-CONFIRMATORY-FAMILY,"only Family D may use the word confirmatory; only after independent review unfreezes the contract for execution",any Family D outcome in this task,contract_frozen_no_execution
