claim_id,claim,experiment,result_file,figure_or_table,status
C1,Certificate is safe on clean suite (adapt precision 0.90; abstains where benefit ~0),clean_suite,results/main/knowability_results.json,fig_certificate.png,used
C2,KGA refuses harmful fusion (matches freeze; ~11x regret cut),harmful_fusion,results/main/kbound_harmful_results.json,fig_kbound_harmful.png,used
C3,Mixed regime: KGA beats always-freeze and ties always-adapt,mixed_regime,results/main/mixed_regime_results.json,fig_mixed_policies.png,used
C4,Historical eight-seed simulated paired t-test diagnostic; no current significance claim,mixed_regime_rigor,results/main/rigor_multiseed.json,stats,superseded_historical_simulation
C5,Non-identifiability witness: identical Z-law opposite benefit -> 100% abstain,nonidentifiability_witness,results/witness/witness_clean.json,fig_witness_clean.png,used
C6,Regression covariate shift: KGA matches oracle by refusing high-variance IW,regression_covariate_shift,results/regression/regression_covariate.json,fig_regression.png,used
C7,Disagreement is the top evidence feature (ablation),ablations,results/ablations/ablations.json,fig_ablation_evidence.png,used
C8,Deep-TTA CIFAR/Tent catastrophic-harm "beats both",cifar_tent,results/tta/cifar_tent_results.json,fig_cifar_tent.png,verify_before_claim
C9,TTA collapse probe,tta_collapse,results/tta/tta_collapse_results.json,fig_tta_collapse.png,verify_before_claim
C10,Multimodal instantiation (MVTec-3D +0.21 under failure),multimodal_instantiation,results/multimodal/multimodal_reliability_results_mvtec3d.json,appendix,corroborating
