benchmark,protocol,analysis_family,confirmatory_or_exploratory,natural_pairing,pairing_strength,scorer,fusion_training_labels,train_split_rule,validation_split_rule,test_split_rule,seeds,candidate_models,selection_rule,primary_comparator,allowed_claim,forbidden_claim
MVTec 3D-AD,PatchCore canonical one-class,A,protocol-diagnostic (audited reanalysis; not a superiority test),yes (co-observed RGB + depth from same scan),independent_modalities,PatchCore image-level kNN over patch features,normal-only,MVTec official train (normals only),MVTec official train subset (normals only),MVTec official test (mixed),"[42, 43, 44, 45, 46]",static_attention RGA RGA-router RGA-boost RF MLP LFE Conf-mean Tent TTT EATA SAR,validation ROC-AUC per head; constant-predictor fallback if val has one class,validation-frozen primary comparator (Rule P2 in HEADLINE_METHOD_POLICY.md §3),"Diagnostic: under canonical one-class training every supervised fusion baseline collapses near chance ROC-AUC. ROC-AUC at chance level is descriptive only. PR/ECE/Brier are BLOCKED pending the canonical label/metric semantics audit (issue E P0).","No superiority claim. No PR/ECE/Brier claim until audit completes. No 'pre-registered' or 'confirmatory' framing for this already-observed cell."
MVTec 3D-AD,PatchCore supervised-paired,A,audited primary reanalysis (not confirmatory replication),yes (co-observed RGB + depth),independent_modalities,PatchCore image-level kNN,both classes,supervised random split (positives visible to fusion-train fold),supervised random split,supervised random split,"30 seeds [42..71]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2; not pre-declared),"Audited inferential summary: RGA+ (validation-frozen head) vs validation-frozen primary comparator with ensemble seed-averaged DeLong + paired sample bootstrap; Holm-corrected within Family A audited-primary K=5; not independent confirmatory replication.","No 'best non-router' framing chosen on test winner. No 'RGA+ beats every baseline'. No claim of confirmatory superiority — for that, see Family D."
MVTec 3D-AD,PatchCore held-out category,A,audited primary reanalysis,yes (co-observed RGB + depth),independent_modalities,PatchCore,both classes for seen categories; held-out categories at test,4 categories train,within-train-category split,held-out-category test fold,"30 seeds [42..71]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Audited inferential summary on the cross-category transfer; subject to Family A Holm K=5; ensemble seed-averaged.","No SOTA claim. No category-agnostic-generalisation claim. No confirmatory framing."
MVTec LOCO-AD,PatchCore canonical one-class,A,protocol-diagnostic (audited reanalysis; not a superiority test),yes (co-observed RGB + depth),independent_modalities,PatchCore,normal-only,MVTec LOCO official train (normals only),MVTec LOCO official train subset,MVTec LOCO official test,"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Replication of canonical chance-level negative result on a second dataset. PR/ECE/Brier BLOCKED pending issue-E audit.","No superiority claim. No PR/ECE/Brier claim until audit completes."
MVTec LOCO-AD,PatchCore supervised-paired,A,audited primary reanalysis,yes (co-observed RGB + depth),independent_modalities,PatchCore,both classes,supervised random split,supervised random split,supervised random split,"30 seeds [42..71]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Audited inferential summary; subject to Family A Holm K=5; ensemble seed-averaged.","Same as MVTec 3D SP. No confirmatory framing."
Real3D-AD,PCA shape + depth supervised,C,exploratory (Family C),yes (point cloud + depth co-observed from same scan),naturally_structured_views,PCA shape statistics + pairwise-angle histogram + radial moments + depth,both classes,supervised random split,supervised random split,supervised random split,"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2; descriptive only),"Exploratory mechanism evidence on a point-cloud descriptor; descriptive point estimates only.","No 'RGA+ leads on Real3D' claim. No confirmatory framing. No inclusion in Family A Holm correction."
VisA,RGB+edge canonical one-class,A,protocol-diagnostic (audited reanalysis; not a superiority test),yes (RGB and edge are paired views of the same image),derived_view_proxy,VisA-style RGB + edge-detector,normal-only,VisA train (normals only),VisA train subset,VisA test (mixed),"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Canonical chance-level diagnostic replication. PR/ECE/Brier BLOCKED pending issue-E audit. Edge_proxy is a derived view of RGB; supports fusion-mechanism evidence only.","No SOTA / no independent-multimodal claim from this cell alone."
VisA,RGB+edge supervised-paired,A,audited primary reanalysis,yes (paired views),derived_view_proxy,VisA-style RGB + edge,both classes,supervised random split,supervised random split,supervised random split,"30 seeds [42..71]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Audited inferential summary; subject to Family A Holm K=5; ensemble seed-averaged. Edge_proxy framing must be reiterated in prose.","No universal independent-multimodal claim. No SOTA. No confirmatory framing."
VisA,RGB+random noise-floor,C,exploratory (Family C),no (random pseudo-modality),derived_view_proxy (with random null second view),VisA-style RGB; second modality = uniform noise,both classes,supervised random split,supervised random split,supervised random split,"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2; descriptive only),"Edge-channel contribution audit only. Descriptive bound vs the matched VisA SP cell.","Not a separate dataset. Not in the primary Holm family. No confirmatory framing."
UNSW-NB15,flow/conn/context,A,audited primary reanalysis,three software-derived modalities from the same network event,naturally_structured_views,UNSW per-modality scorer,both classes,UNSW stratified random split,UNSW stratified random split,UNSW stratified random split,"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2),"Audited inferential summary; subject to Family A Holm K=5; ensemble seed-averaged. The naturally_structured_views label must be reiterated in prose.","No universal independent-multimodal claim. No SOTA. No confirmatory framing."
UNSW-NB15,held-out attack categories,C,exploratory (Family C),three software-derived modalities,naturally_structured_views,UNSW per-modality scorer,both classes (seen attacks); unseen attacks at test,UNSW with 3 attack categories (Worms Shellcode Backdoor) held out from train,UNSW (seen categories only),UNSW (held-out attack categories at test),"[42, 43, 44, 45, 46]",same as above,validation ROC-AUC per head,validation-frozen primary comparator (Rule P2; descriptive only),"Robustness audit; descriptive only.","Not in Family A. No confirmatory framing. May be upgraded to Family D if re-run on a newly defined held-out evaluation that is locked before inspection."
ELARA-Bench-LA,coherent zero-attack all-domain at locked tau=0.66,B,audited mechanism endpoint (B1),no (label alignment),label_aligned_stress_only,per-source pretrained scorer,both classes (label-aligned),source-row-disjoint split,source-row-disjoint split,source-row-disjoint split,"[42, 43, 44, 45, 46]",static_attention + RGA,fixed tau=0.66; validation ROC-AUC per head for any other selection,static attention (mechanism reference path),"Audited mechanism endpoint: KS-drift gate's effect at tau=0.66 under coherent zero-attack all-domain; subject to Family B Holm K=2 (B1 + B2).","NOT cross-domain superiority. NOT generalisation to naturally paired benchmarks. No confirmatory framing without Family D replication."
ELARA-Bench-LA,coherent max-attack all-domain at locked tau=0.66,B,audited mechanism endpoint (B2),no (label alignment),label_aligned_stress_only,per-source pretrained scorer,both classes,source-row-disjoint split,source-row-disjoint split,source-row-disjoint split,"[42, 43, 44, 45, 46]",static_attention + RGA,fixed tau=0.66,static attention,"Audited mechanism endpoint: KS-drift gate's effect at tau=0.66 under coherent max-attack all-domain; subject to Family B Holm K=2.","NOT cross-domain superiority. NOT generalisation. No confirmatory framing without Family D replication."
ELARA-Bench-LA,k-of-D corruption sweep,B,descriptive mechanism surface only (B3),no,label_aligned_stress_only,per-source pretrained scorer,both classes,source-row-disjoint split,source-row-disjoint split,source-row-disjoint split,"[42, 43, 44, 45, 46]",static_attention + RGA across k in {0..4} and gate in {mean minimum hybrid},no head selection; sweep over (k gate_mode),N/A (descriptive surface only),"Descriptive mechanism surface: matches T3 mean-gate-dilution prediction (gate fires only at k=4). No Holm-corrected significance claim.","No significance claim. No confirmatory framing. Multiple inspected contrasts — sweep not a single hypothesis test."
ELARA-Bench-LA,tau threshold sweep,B,descriptive hyperparameter / gate-activity analysis only (B4),no,label_aligned_stress_only,per-source pretrained scorer,both classes,source-row-disjoint split,source-row-disjoint split,source-row-disjoint split,"[42, 43, 44, 45, 46]",RGA across tau in {0.4 0.5 0.6 0.66 0.7 0.8 0.9 learned},no head selection,N/A (descriptive only),"Descriptive: adaptation rate and ROC-AUC delta as a function of tau. tau=0.66 is the locked configuration for B1/B2.","No significance claim. Hyperparameter audit only — not a confirmatory contrast."
ELARA-Bench-LA,reliability-component ablation,B,descriptive mechanism attribution only (B5),no,label_aligned_stress_only,per-source pretrained scorer,both classes,source-row-disjoint split,source-row-disjoint split,source-row-disjoint split,"[42, 43, 44, 45, 46]",RGA with each of {ECE KS sharpness} held out individually,no head selection,N/A (descriptive only),"Descriptive component-attribution surface. Reports which signal contributes most to the B1/B2 endpoints under existing inspected results.","No significance claim for the existing inspected ablation. A no-KS contrast may be pre-specified and run on a future Family D replication; that future contrast may then carry a Holm-corrected significance claim."
ELARA-Bench-LA-healthcare-replay,local retrospective replay,C,exploratory (Family C),local retrospective only,local_replay,replay of MIMIC/BIDMC under the audit framework,both classes (replay),local replay,local replay,local replay,single replay run,calibration monitor + bounded switching certificate utilities,static attention,"Local retrospective replay illustrating the deployment utilities. Strictly local replay; no clinical claim.","No prospective clinical deployment claim. No 'production-ready' or 'deployment-grade' language."
FUTURE-D1,MVTec 3D-AD supervised-paired on a newly created untouched locked test split or external replication partition,D,future locked confirmatory replication,yes (co-observed RGB + depth),independent_modalities,PatchCore (or matching scorer; same family as A2),both classes,split defined and frozen before any inspection,split defined and frozen before any inspection,split defined and frozen before any inspection,seed count to be locked before evaluation,"set of methods (RGA+ head + comparator) frozen before evaluation",frozen before evaluation (head + comparator + multiplicity family),"pre-declared per Family D rule: registry in HEADLINE_METHOD_POLICY.md §4 is populated only once Family D is locked",Confirmatory: the only family permitted to use the words 'pre-registered' and 'confirmatory'. Subject to a separately Holm-corrected family with K = |Family D|. Requires the dataset and split to be untouched by prior inspection.,"No re-use of the existing test partition for D1 — must be a new untouched locked split or external partition."
FUTURE-D2,MVTec LOCO-AD supervised-paired on a newly created untouched locked test split,D,future locked confirmatory replication,yes (co-observed RGB + depth),independent_modalities,PatchCore,both classes,split defined and frozen before any inspection,split defined and frozen before any inspection,split defined and frozen before any inspection,seed count to be locked before evaluation,frozen,frozen,pre-declared,Confirmatory.,No re-use of the existing test partition.
FUTURE-D3,UNSW-NB15 with a newly defined temporally or attack-held-out locked evaluation not previously inspected,D,future locked confirmatory replication,three software-derived modalities from the same network event,naturally_structured_views,UNSW per-modality scorer,both classes (seen) + unseen at test,split defined and frozen before any inspection,split defined and frozen before any inspection,split defined and frozen before any inspection,seed count to be locked before evaluation,frozen,frozen,pre-declared,Confirmatory.,No re-use of the existing held-out-attack partition that has already been inspected (UNSW-NB15 'held-out attack categories' Family C row); must be a NEW partition.
