audit_id,category,subcategory,finding,severity,status,evidence_file,evidence_detail
A01,Model,Checkpoint,No .pt model checkpoints found in workspace,CRITICAL,OPEN,"find command result","find /Volumes/T9/uav/AutoML_Flagship_V8 -name '*.pt' returned 0 results"
A02,Model,Architecture,AttentionFusionModel confirmed as single-layer cross-modal attention transformer,INFO,CONFIRMED,cross_modal_attention.py,embed_dim 32-48 num_heads=4 num_layers=1 per benchmark
A03,Model,ReliabilityEstimator,Reliability formula confirmed: r_d = 0.45*(1-ECE) + 0.35*KS_p + 0.20*sharpness,INFO,CONFIRMED,reliability_estimator.py:164-168,Weights match paper Eq. 2
A04,Model,RGAPlus,11-candidate grid confirmed: 7 HGB + 4 LogReg,INFO,CONFIRMED,reliability_boosted_fusion.py:144-186,Candidate names match results JSON
A05,Model,MetaRouter,Router uses StratifiedShuffleSplit 60/40 on validation fold,INFO,CONFIRMED,meta_router.py:192-194,Val split only; test untouched
A06,Data,Lineage,MVTec 3D-AD scorer fitted on train/good only,INFO,CONFIRMED,prepare_mvtec3d_fusion_benchmark.py,normal_reference_mask = train_mask & (defect_types == good)
A07,Data,Lineage,UNSW-NB15 score fitted on train split only (fresh stratified),INFO,CONFIRMED,prepare_unsw_paired_fusion_benchmark.py,_domain_score with train_mask; not original UNSW split
A08,Data,Leakage,UNSW-NB15 canonical uses fresh stratified split (attack types same in train/test),WARN,ACKNOWLEDGED,attention_unsw_heldout_attack.yaml,Held-out attack protocol exists as defense
A09,Data,Leakage,Test labels never used in model or threshold selection,INFO,CONFIRMED,"train_attention_fusion.py, reliability_boosted_fusion.py, meta_router.py",All selection on validation data only
A10,Data,Leakage,Historical test-oracle RGA+ selection corrected (M001/M004),INFO,CORRECTED,claim_matrix.csv rows M001 M004,Test-max replaced by val-frozen selection pre-submission
A11,Training,Pipeline,Seed set via set_seed() before each training run,INFO,CONFIRMED,train_attention_fusion.py:35-38,np.random.seed + torch.manual_seed + torch.cuda.manual_seed_all
A12,Training,Pipeline,Early stopping on validation PR-AUC (patience=4-5),INFO,CONFIRMED,train_attention_fusion.py:207-258,Checkpoint saved on best val PR-AUC
A13,Training,Pipeline,Split column pre-assigned in CSV used for all seeds (same fold for all 30 seeds),WARN,ACKNOWLEDGED,All configs split_column field,30 seeds reflect initialization variance not split variance
A14,Training,Hyperparameters,Reliability weights (0.45/0.35/0.20) are engineering heuristics not searched,WARN,OPEN,All config YAML files,No evidence of validation-set search for these values
A15,Training,Hyperparameters,Gate threshold tau=0.66 is engineering heuristic not searched,WARN,OPEN,All config YAML files,tau sweep is descriptive (Family B) not tuning
A16,Training,Hyperparameters,lr=0.001 AdamW fixed across all benchmarks (no search),INFO,CONFIRMED,train_attention_fusion.py:201,No hyperparameter search for optimizer settings
A17,Selection,ModelSelection,All 3 selection decisions (attention/boost/router) use validation only,INFO,CONFIRMED,"train_attention_fusion.py, reliability_boosted_fusion.py, meta_router.py",Test fold untouched during all selection
A18,Selection,ValFoldReuse,Validation fold used for early stopping + reliability fit + RGA+ selection,WARN,ACKNOWLEDGED,Architecture design,Standard practice; should be disclosed explicitly
A19,Overfitting,CanonicalProtocol,All supervised methods collapse to ~chance under one-class canonical protocol,INFO,CONFIRMED,mvtec3d_patchcore_results.json,static_attention mean=0.491 rga_boosted=0.500
A20,Overfitting,SeedVariance,High initialization variance under canonical (static_attention std=0.062),INFO,CONFIRMED,mvtec3d_patchcore_results.json:clean_metric_summary,Expected under one-class (random discriminability direction)
A21,Overfitting,SwitchingCert,3 of 10 benchmark×protocol cells not switching-certified (LCB <= 0),INFO,CONFIRMED,switching_certificate_t5_audit.json,Canonical protocols: MVTec3D/LOCO canonical + VisA canonical
