claim_id,document,section,claim_text_before,claim_text_after,claim_type,benchmark,protocol,method,metric,source_artifact,status,reason_for_change,verified_by_script
M001,PAPER_DRAFT_v1.tex,abstract (§I),"\methodplus{} boosted fusion 0.738 versus Tent 0.735; exploratory validation router reaches 0.740","In an audited reanalysis of inspected results, the validation-frozen \methodplus{} head reaches 0.739 ROC-AUC on MVTec~3D-AD PatchCore supervised-paired; the validation-frozen primary comparator (SAR) reaches 0.735. The audited inferential summary against the validation-frozen primary comparator is single-representative-seed DeLong $p=0.919$, Holm-corrected within Family A K=5 to $p_{\\mathrm{Holm}}=0.919$ (n.s.).","ROC-AUC headline",MVTec 3D-AD,PatchCore supervised,validation-frozen RGA+ head,roc_auc,docs/research/metrics_manifest.json#claims[A2],corrected,Phase 1.B replaced test-max RGA+ with validation-frozen head; Phase 1.C replaced Tent with the validation-frozen primary comparator (SAR matches in this cell),validate_manuscript_claims.py
M002,PAPER_DRAFT_v1.tex,abstract (§I),"Component ablation shows the KS-drift signal controls whether the gate fires; removing it eliminates the \\benchmark{} gain","Component ablation evidence is descriptive only (Family B5) and does not carry a Holm-corrected significance claim under the Phase-1 locked audited-reanalysis policy.",mechanism narrative,ELARA-Bench-LA,reliability-component ablation,RGA,descriptive,docs/research/metrics_manifest.json#claims[null],corrected,Phase 1.D reclassified sweeps and ablations as descriptive only,validate_manuscript_claims.py
M003,PAPER_DRAFT_v1.tex,§sec:cross-benchmark-master caption,"Holm-Bonferroni correction across all nine evaluated cells","Holm-Bonferroni correction within Family A audited-primary cells ($K{=}5$: A2, A3, A5, A7, A8). Protocol-diagnostic cells (A1, A4, A6) are reported with raw $p$-values for descriptive purposes only and are not in the Holm $K$-count. Family C exploratory cells (Real3D-AD, VisA noise-floor, UNSW held-out attack) report raw $p$-values only.",caption,all,master comparison,RGA+ vs primary comparator,p_holm,docs/research/tables/milestone2_cross_benchmark.tex,corrected,Phase 1.D introduced the four-family split; Family A K=5,validate_manuscript_claims.py
M004,PAPER_DRAFT_v1.tex,§sec:cross-benchmark-master caption,"RGA+ = max(router boost). Best non-router = the strongest of (RF MLP LFE Tent TTT Conf-mean static attention).","RGA+ headline = the head selected by validation ROC-AUC and frozen before test evaluation (router or boost; tie-break boost). Primary comparator = the baseline with the highest seed-mean validation ROC-AUC, frozen before test evaluation. Existing inspected results are reported as a locked audited reanalysis, not as independent confirmatory replication.",caption,all,master comparison,RGA+ + primary comparator,selection rule,docs/research/tables/milestone2_cross_benchmark.tex,corrected,Phase 1.B + Phase 1.C; no test-set oracle selection allowed,validate_manuscript_claims.py
M005,PAPER_DRAFT_v1.tex,§sec:cross-benchmark-master prose,"MVTec~LOCO-AD PatchCore supervised-paired (+0.008 over Tent, p_Holm=1.1e-5) and VisA RGB+edge-proxy supervised-paired (+0.011 over RF, p_Holm=1.2e-4)","In the locked audited reanalysis, MVTec~LOCO-AD PatchCore supervised-paired reports validation-frozen RGA+ (router) below the validation-frozen comparator (Tent) by $\\Delta=-0.008$ ROC-AUC; the Holm-corrected $p$ is $0.378$ (n.s.). VisA RGB+edge supervised-paired reports $\\Delta=+0.011$ ROC-AUC; Holm-corrected $p$ is $0.496$ (n.s.).",inferential headline,MVTec LOCO + VisA,supervised-paired,validation-frozen RGA+,delta_auc + p_holm,docs/research/metrics_manifest.json#claims[A5+A7],corrected,Phase 1.B/C/D — sign flipped on MVTec LOCO SP; both lose significance,validate_manuscript_claims.py
M006,PAPER_DRAFT_v1.tex,§sec:cross-benchmark-master prose,"UNSW-NB15 reaches p_Holm~1e-11 at a near-zero point-estimate delta (+0.0003 over random forest)","UNSW-NB15 flow/conn/context retains Holm-corrected significance in the audited reanalysis: single-representative-seed DeLong $p=1.3\\times 10^{-6}$, $p_{\\mathrm{Holm}}=6.7\\times 10^{-6}$ within Family A K=5; the point-estimate delta is $+0.0003$ ROC-AUC against the validation-frozen comparator (random forest). The practical effect size is negligible; the statistical signal reflects ranking agreement at 55,491 paired events.",inferential headline,UNSW-NB15,flow/conn/context,validation-frozen RGA+,delta_auc + p_holm,docs/research/metrics_manifest.json#claims[A8],corrected,Phase 1.D replaced Fisher with single-rep-seed DeLong; result still significant but small practical effect,validate_manuscript_claims.py
M007,PAPER_DRAFT_v1.tex,§Real3D paragraph,"\methodplus{} boost reaches $0.5656$ which is now above the strongest non-RGA baseline","Real3D-AD is classified as Family C exploratory under the locked audited-reanalysis policy. In the audited reanalysis the validation-frozen RGA+ head is router (test ROC-AUC = 0.534) and the validation-frozen comparator is TTT (0.537); the descriptive delta is $-0.003$. No confirmatory superiority claim is made.",exploratory headline,Real3D-AD,PCA shape + depth supervised,validation-frozen RGA+,delta_auc,docs/research/metrics_manifest.json#claims[C1],corrected,Phase 1.C — under val-frozen rule Real3D RGA+ no longer leads,validate_manuscript_claims.py
M008,PAPER_DRAFT_v1.tex,§sec:causal-attribution,"Causal Reliability Attribution; interventional ATE under a Structural Causal Model where per-domain scores influence per-domain reliability which in turn influences the fused prediction; do(r_d = bar_r_d^val)","Model-Response Sensitivity to Per-Domain Reliability. This controlled perturbation measures how the model output changes when a reliability input is set to a reference value. It does not identify a causal effect on real anomaly incidence or operational safety.",causal language,all supervised-paired,model-response sensitivity,RGA,ATE,src/uais/fusion/attention/causal_attribution.py,corrected,Phase 1.G reframing (issue H); SCM / do() language removed,validate_manuscript_claims.py
M009,PAPER_DRAFT_v1.tex,canonical-protocol subsections + tables,"\methodplus{} is not applicable [under canonical one-class] because the supervised boosted head has no anomaly gradient (with PR=ECE=Brier=0.7835 cited)","Under canonical one-class training the supervised fusion heads collapse to degenerate constant predictors; canonical PR-AUC / ECE / Brier values reflect the canonical test-fold's anomaly prevalence (0.78 for MVTec 3D, 0.63 for MVTec LOCO, 0.56 for VisA), not discrimination ability. Only ROC-AUC at chance level is reported for canonical cells; PR-AUC / ECE / Brier are omitted (Phase 1.A audit).",canonical reframing,all canonical,one-class diagnostic,every supervised head,PR/ECE/Brier,docs/research/audit/CANONICAL_LABEL_METRIC_AUDIT.md,corrected,Phase 1.A audit verdict METRICS_VALID_BUT_MISINTERPRETED,validate_manuscript_claims.py
M010,THESIS_CHAPTER_v1.tex,§Reliability-Gate Threshold Sweep,"At τ=0.66 the clean adaptation rate is 0.032","At τ=0.66 the clean adaptation rate is 0.000 (read from docs/research/tables/elara_tau_sweep_results.tex). The threshold sweep is reclassified as Family B4 descriptive analysis only.",numerical drift,ELARA-Bench-LA,tau sweep,RGA,adaptation_rate,docs/research/tables/elara_tau_sweep_results.tex,corrected,Phase 1.D Family B reclassification + read from regenerated table,validate_manuscript_claims.py
